														SI7820
556	2,3-Dihydro-1-benzofuran-2-carboxylic acid	C9 H8 O3	164.04765	163.04037	11.821	[M-H]-1	Full match	Full match	95.5	9.8	Partial match	20	No results	1.08E+05
557	2,3,6-Pyridinetriol	C5 H5 N O3	127.02727	126.01996	7.474	[M-H]-1	Full match	No results			Full match	3	No results	1.56E+06
558	2,3,4,5-Tetrahydroxypentanal	C5 H10 O5	150.0531	149.04583	10.462	[M-H]-1	Full match	No results			Full match	60	No results	3.17E+07
559	2,3,4,5-Tetrahydroxypentanal	C5 H10 O5	150.05309	149.04581	9.94	[M-H]-1	Full match	No results			Full match	60	No results	3.62E+06
560	2,3,4,5-Tetrahydroxypentanal	C5 H10 O5	150.05314	149.04583	10.186	[M-H]-1	Full match	No results			Full match	60	No results	3.61E+06
561	2,3,4,5-Tetrahydroxypentanal	C5 H10 O5	150.05307	149.04579	10.908	[M-H]-1	Full match	No results			Full match	60	No results	6.45E+06
562	2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide	C8 H17 N O7	239.10059	240.10786	12.036	[M+H]+1	Full match	No results			Full match	1	No results	9.82E+06
563	2(3H)-Furanone, dihydro-3,4-divanillyl-	C20 H22 O6	358.14135	376.17517	4.158	[M+NH4]+1	Full match	No results			Full match	38	No results	6.68E+06
564	17,21-Dihydroxypregnenolone	C21 H32 O4	348.22954	349.23699	3.491	[M+H]+1	No results	No results			Full match	17	No results	4.61E+06
565	1228222	C13 H14 N2 O4	262.0951	261.08783	12.452	[M-H]-1	Full match	No results			Full match	1	No results	3.45E+06
566	12-HSA	C18 H36 O3	300.26615	299.25888	3.942	[M-H]-1	Full match	No results			Full match	16	No results	2.60E+06
567	11(Z),14(Z)-Eicosadienoic Acid	C20 H36 O2	308.27155	307.26429	3.407	[M-H]-1	Full match	Full match	68.2	8.4	Not the top hit	8	No results	6.20E+06
568	1-Thio-beta-D-glucopyranose	C6 H12 O5 S	196.04082	195.03354	7.47	[M-H]-1	Full match	No results			Full match	3	No results	1.37E+06
569	1-Stearoylglycerol	C21 H42 O4	358.30807	359.31526	3.852	[M+H]+1	Full match	Full match	84.4	78.4	Full match	5	No results	1.02E+06
570	1-pyrroline-5-carboxylic acid	C5 H7 N O2	113.0479	158.04613	5.96	[M+FA-H]-1	Full match	No results			Full match	10	No results	5.83E+05
571	1-Oleoyl-rac-glycerol	C21 H40 O4	356.29273	355.28544	3.334	[M-H]-1	Full match	No results			Full match	7	No results	1.40E+06
572	1-Nitrosonaphthalene	C10 H7 N O	157.05283	199.08664	7.428	[M+ACN+H]+1	No results	No results			Full match	1	No results	5.15E+06
573	1-Methyl-N-(9-methyl-9-azabicyclo[3.3.1]non-3-yl)-1H-indazole-3-carboxamide	C18 H24 N4 O	312.19371	311.18648	3.722	[M-H]-1	Full match	No results			Full match	3	No results	1.12E+07
574	1-Methyl-4-(1-pyrrolidinyl)-1H-pyrazolo[3,4-d]pyrimidine	C10 H13 N5	203.11597	204.12325	12.057	[M+H]+1	No match	Invalid mass	67.8	8.4	No match	3	No match	2.62E+07
575	1-Deoxy-L-mannitol	C6 H14 O5	166.08413	167.09141	9.684	[M+H]+1	Full match	No results			Full match	3	No results	4.92E+06
576	1-Acetylcyclohexyl acetate	C10 H16 O3	184.10999	183.10291	4.746	[M-H]-1	Full match	No results			Full match	18	No results	4.08E+06
577	1-(Propyldisulfanyl)-1-(propylsulfinyl)propane	C9 H20 O S3	240.06698	239.05971	3.682	[M-H]-1	No results	No results			Full match	2	No results	2.25E+06
578	1-(Propyldisulfanyl)-1-(propylsulfinyl)propane	C9 H20 O S3	240.06707	239.0598	3.97	[M-H]-1	Full match	No results			Full match	1	No results	3.71E+06
579	1-(Methylthio)-1-hexanethiol	C7 H16 S2	164.06858	182.1024	10.868	[M+NH4]+1	Full match	No results			Full match	51	No results	1.28E+07
580	1-(malonylamino)cyclopropane-1-carboxylic acid	C7 H9 N O5	187.04835	186.04107	9.952	[M-H]-1	Full match	No results			Full match	6	No results	2.94E+06
581	1-(alpha-D-Glucopyranosyluronosyl)-3-[(2S)-1-methyl-5-oxo-2-pyrrolidinyl]pyridinium	C16 H20 N2 O7	352.12718	351.11985	4.746	[M-H]-1	No results	No results			Full match	1	No results	1.24E+06
582	1-(4-Hydroxyphenyl)-1,2,3-propanetriol	C9 H12 O4	184.07363	185.08087	4.359	[M+H]+1	Full match	No results			Full match	20	No results	3.04E+07
583	1-(4-Hydroxy-3,5-dimethoxyphenyl)-1,2,3-propanetriol	C11 H16 O6	244.09464	243.08735	4.743	[M-H]-1	Full match	No results			Full match	1	No results	1.77E+07
584	1-(3-phenylpropanoyl)-4-piperidinecarboxylic acid	C15 H19 N O3	261.13633	260.12906	7.409	[M-H]-1	No results	Full match	57.9	44.2	Partial match	3	No results	7.01E+06
585	1-(3,4-Dimethoxyphenyl)-3,5-decanediyl diacetate	C22 H34 O6	394.23535	395.24258	3.579	[M+H]+1	No results	No results			Full match	2	No results	1.42E+07
586	1-(2-Furyl)-1-butanone	C8 H10 O2	138.06815	139.07535	4.392	[M+H]+1	Full match	No results			Full match	28	No results	2.76E+07
587	1,4-D-xylobiose	C10 H18 O9	282.09503	281.08776	11.161	[M-H]-1	Full match	No results			Full match	10	No results	1.41E+06
588	1,4,5-Trihydroxy-5-hydroxymethyl-2-methoxycyclohex-1-en-3-one	C8 H12 O6	204.06374	203.05646	13.586	[M-H]-1	Full match	No results			Full match	3	No results	1.21E+07
589	1,4,5,6-tetrahydro-6-oxonicotinic acid	C6 H7 N O3	141.0429	140.03569	7.482	[M-H]-1	Full match	No results			Full match	5	No results	3.97E+06
590	1,3,7-Trimethyluric acid	C8 H10 N4 O3	210.07429	209.06701	10.139	[M-H]-1	Not the top hit	Full match	62.8	44.9	Full match	9	No results	1.34E+06
591	1,3,7-Trimethyluric acid	C8 H10 N4 O3	210.07433	209.06705	12.039	[M-H]-1	Full match	No results			Full match	9	No results	2.47E+05
592	.alpha.-Aminoadipic acid	C6 H11 N O4	161.06887	162.07612	7.715	[M+H]+1	Full match	No results			Full match	21	No results	2.42E+06
593	(±)-Menthol	C10 H20 O	156.15154	311.29579	3.392	[2M-H]-1	Full match	No results			Full match	25	No results	4.78E+07
594	(Z)-2-Butene-1,2,3-tricarboxylic acid	C7 H8 O6	188.03235	187.02508	14.041	[M-H]-1	Full match	No results			Full match	8	No results	1.16E+07
595	(RS)-3,5-DHPG	C8 H9 N O4	183.05333	182.04605	4.084	[M-H]-1	Full match	No results			Full match	6	No results	5.64E+05
596	(R)-3-hydroxybutyrylcarnitine	C11 H21 N O5	247.1421	248.14938	12.453	[M+H]+1	Full match	No results			Full match	2	No results	1.81E+07
597	(R)-3-hydroxybutyrylcarnitine	C11 H21 N O5	247.1421	248.14938	12.819	[M+H]+1	Full match	No results			Full match	2	No results	3.36E+07
598	(R)-3-hydroxybutyrylcarnitine	C11 H21 N O5	247.14195	246.13464	4.581	[M-H]-1	Full match	No results			Full match	2	No results	1.48E+07
599	(e,z,z)-2,4,7-decatrienal	C10 H14 O	150.10449	149.09748	4.048	[M-H]-1	Full match	No results			Full match	47	No results	1.79E+07
600	(8E)-2-Amino-8-octadecene-1,3,4-triol	C18 H37 N O3	315.27741	299.2581	3.434	[M+H-NH3]+1	Full match	No results			Full match	1	No results	4.63E+07
601	(6R,8Z)-6-Hydroxy-3-oxo-8-tetradecenoic acid	C14 H24 O4	256.16744	257.17464	3.652	[M+H]+1	Full match	No results			Full match	4	No results	1.14E+07
602	(5R,6R)-2,6-Dihydroxy-5-(hydroxymethyl)-2-cyclohexen-1-one	C7 H10 O4	158.05819	157.05092	7.335	[M-H]-1	Full match	No results			Full match	10	No results	1.41E+08
603	(4S,5R,8S,9R,12R,13R)-1,5,9-Trimethyl-11,14,15-trioxatetracyclo[10.2.1.0~4,13~.0~8,13~]pentadecan-10-ol	C15 H24 O4	268.16751	269.17488	3.593	[M+H]+1	Full match	No results			Full match	8	No results	8.08E+07
604	(4S)-4-[(2E,4Z)-2,4-Decadienoyloxy]-4-(trimethylammonio)butanoate	C17 H29 N O4	311.20959	312.21685	3.65	[M+H]+1	Full match	No results			Full match	1	No results	2.21E+07
605	(4R,5S,9S,10R,12S,13S)-1,5,9-Trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.0~4,13~.0~8,13~]hexadecan-10-ol	C15 H24 O5	284.1624	285.16966	3.74	[M+H]+1	Full match	No results			Full match	1	No results	2.95E+07
606	(4E)-5-Hydroxy-4-{(2E,4E,6R)-1-hydroxy-6-[(3R,4R,6R)-6-hydroxy-1,4,8-trimethyl-2,9-dioxabicyclo[3.3.1]non-7-en-3-yl]-4-methyl-2,4-heptadien-1-ylidene}-2,4-dihydro-3H-pyrrol-3-one	C22 H29 N O6	403.19912	404.2064	4.144	[M+H]+1	Full match	No results			Full match	3	No results	2.05E+06
607	(4E)-5-Hydroxy-4-{(2E,4E,6R)-1-hydroxy-6-[(3R,4R,6R)-6-hydroxy-1,4,8-trimethyl-2,9-dioxabicyclo[3.3.1]non-7-en-3-yl]-4-methyl-2,4-heptadien-1-ylidene}-2,4-dihydro-3H-pyrrol-3-one	C22 H29 N O6	403.19918	404.20646	4.976	[M+H]+1	Full match	No results			Full match	3	No results	5.66E+06
608	(4-Ethoxyphenyl)urea	C9 H12 N2 O2	180.08955	405.17716	4.754	[2M+FA-H]-1	Full match	No results			Full match	7	No results	2.42E+06
609	(3E)-4,8-Dimethyl-1,3,7-nonatriene	C11 H18	150.14086	151.14814	4.19	[M+H]+1	No results	No results			Full match	3	No results	2.07E+06
610	(2Z)-2-(3-Hydroxybenzylidene)heptanoic acid	C14 H18 O3	234.12554	235.13281	4.016	[M+H]+1	Full match	No results			Full match	13	No results	7.29E+05
611	(2S,3S)-2,3-dihydro-3-hydroxyanthranilic acid zwitterion	C7 H9 N O3	155.05822	156.0655	9.045	[M+H]+1	Full match	No results			Full match	7	No results	4.02E+07
612	(2S)-3-Hydroxy-2-(octanoyloxy)propyl decanoate	C21 H40 O5	372.28777	371.28049	3.309	[M-H]-1	Full match	No results			Full match	7	No results	9.94E+05
613	(2S)-2-Amino-8-hydroxyoctanoic acid	C8 H17 N O3	175.12082	176.1281	9.182	[M+H]+1	Full match	No results			Full match	1	No results	2.84E+07
614	(2R)-2,3-Dihydroxypropanoic acid	C3 H6 O4	106.02682	105.01955	10.456	[M-H]-1	Full match	Full match	58	7.9	Full match	3	No results	6.50E+06
615	(2E,6E)-Farnesol	C15 H26 O	222.1977	467.38419	3.279	[2M+Na]+1	Full match	No results			Full match	87	No results	1.80E+05
616	(2-Hydroxyphenyl)oxidanyl	C6 H5 O2	109.02921	108.02193	7.463	[M-H]-1	No results	No results			Full match	2	No results	4.92E+06
617	(1Z)-N-[(2S,3S,4R,8E)-1,3,4-Trihydroxy-8-octadecen-2-yl]hexadecanimidic acid	C34 H67 N O4	553.50641	586.53988	3.791	[M+H+MeOH]+1	Full match	No results			Full match	2	No results	1.03E+06
618	(1Z)-2-Hydroxy-N-[(2S,3S,4R)-1,3,4-trihydroxy-2-octadecanyl]nonadecanimidic acid	C37 H75 N O5	613.5633	614.57058	3.782	[M+H]+1	Full match	No results			Full match	1	No results	1.64E+06
619	(1S,6R,11aR,13R,14aS)-1,13-dihydroxy-6-methyl-1H,4H,6H,7H,8H,9H,11aH,12H,13H,14H,14aH-cyclopenta[f]oxacyclotridecan-4-one	C16 H24 O4	280.16749	281.1748	3.52	[M+H]+1	Full match	Full match	56.7	64	Partial match	7	No results	1.21E+08
620	(-)-Rhododendrin	C16 H24 O7	328.15245	327.14518	4.748	[M-H]-1	Full match	No results			Full match	1	No results	9.56E+06
621	(-)-enniatin B	C33 H57 N3 O9	639.41254	640.41982	4.376	[M+H]+1	Full match	No results			Full match	1	No results	4.10E+06
622	(-)-Ecgonine methyl ester	C10 H17 N O3	199.12092	200.1282	10.238	[M+H]+1	Full match	No results			Full match	13	No results	1.10E+07
623	(-)-Ecgonine methyl ester	C10 H17 N O3	199.12097	200.12825	10.641	[M+H]+1	Full match	No results			Full match	13	No results	9.34E+06
624	(-)-Ecgonine methyl ester	C10 H17 N O3	199.12104	200.12832	11.1	[M+H]+1	Full match	No results			Full match	13	No results	9.39E+06
625	(+/-)-Methoprene	C19 H34 O3	310.25046	311.25826	3.422	[M+H]+1	No results	No results			Full match	2	No results	2.48E+06
626	(+/-)-C75	C14 H22 O4	236.14131	237.14855	3.518	[M+H]+1	No match	Invalid mass	71.7	69.1	No match	3	No results	1.68E+08
627	(+)-Simvastatin	C25 H38 O5	418.2718	419.27912	3.546	[M+H]+1	No results	No results			Full match	3	No results	5.78E+06
628	(+)-Nootkatone	C15 H22 O	218.16712	219.17439	3.609	[M+H]+1	Full match	No results			Full match	55	No results	1.46E+07
629	(+)-10-Deoxymethynolide	C17 H28 O4	296.19873	297.20605	3.492	[M+H]+1	Full match	Invalid mass			Full match	3	No results	2.61E+07
630		C12 H27 N O2	217.20426	218.21154	7.513	[M+H]+1	Full match	No results			No results	0	No results	6.29E+06
631		C14 H31 N O2	245.23556	246.24284	7.471	[M+H]+1	Full match	No results			No results	0	No results	2.57E+06
632		C12 H27 N O2	217.20423	218.21151	8.435	[M+H]+1	Full match	No results			No results	0	No results	1.18E+06
633		C12 H27 N O3	233.19907	234.20635	4.737	[M+H]+1	Full match	No results			No results	0	No results	4.72E+05
634		C12 H27 N O3	233.19915	234.20642	7.359	[M+H]+1	Full match	No results			No results	0	No results	1.56E+06
635		C4 H6 N6 O4	202.04539	203.05267	12.226	[M+H]+1	Full match	No results			No match	1	No results	3.01E+06
636		C17 H37 N O3	303.27724	304.28451	4.318	[M+H]+1	Full match	No results			No results	0	No results	1.34E+06
637		C16 H35 N O3	289.26165	290.26893	4.401	[M+H]+1	Full match	No results			No results	0	No results	1.34E+06
638		C19 H41 N O2	315.31362	316.3209	5.994	[M+H]+1	Full match	No results			No results	0	No results	2.33E+06
639		C37 H30 Cl N5 O S	627.18629	628.19357	3.696	[M+H]+1	Full match	No results			No results	0	No results	5.41E+05
640		C12 H27 N O3	233.1991	234.20638	5.88	[M+H]+1	Full match	No results			No results	0	No results	2.66E+06
641		C9 H18 O5	206.11543	205.10831	4.712	[M-H]-1	Full match	No results			No results	0	No results	1.41E+07
642		C49 H33 Cl N P	701.2045	702.21178	3.685	[M+H]+1	Full match	No results			No results	0	No results	3.88E+05
643		C11 H19 N O5	245.12638	246.13366	10.529	[M+H]+1	Full match	No results			No results	0	No results	1.10E+08
644		C52 H39 Cl N P S	775.22284	776.23011	3.67	[M+H]+1	Full match	No results			No results	0	No results	3.88E+05
645		C12 H21 N O5	259.14208	260.14936	9.986	[M+H]+1	Full match	No results			No results	0	No results	9.16E+07
646		C5 H9 N3 O2	143.06955	144.07681	11.509	[M+H]+1	Full match	No results			No results	0	No results	5.65E+05
647		C14 H31 N O3	261.2305	262.23776	7.48	[M+H]+1	Full match	No results			No results	0	No results	2.07E+05
648		C55 H41 Cl2 N O4	849.24123	850.24848	3.659	[M+H]+1	Full match	No results			No results	0	No results	3.34E+05
649		C3 H5 N3 O	99.04325	100.05052	11.455	[M+H]+1	Full match	No results			No results	0	No results	3.27E+06
650		C32 H57 N4 O6 P	624.40158	625.40845	3.702	[M+H]+1	Full match	No results			No match	4	No results	5.04E+05
651		C31 H36 Cl N S3	553.16819	554.17526	3.731	[M+H]+1	Full match	No results			No results	0	No results	6.03E+05
652		C13 H32 N9 O P	361.2464	344.24307	7.476	[M+H-H2O]+1	Full match	No results			No results	0	No results	7.37E+06
653		C18 H32 N2 O3	324.24114	325.24836	4.257	[M+H]+1	Full match	No results			No results	0	No results	1.24E+08
654		C17 H35 N O3	301.26155	302.26891	7.451	[M+H]+1	Full match	No results			No results	0	No results	6.08E+05
655		C19 H29 N5 O	343.23577	344.24303	7.482	[M+H]+1	Full match	No results			No results	0	No results	7.37E+06
656		C58 H49 Cl2 N O2 P2	923.2609	924.26818	3.658	[M+H]+1	Full match	No results			No results	0	No results	3.34E+05
657		C19 H38 N2 O3	342.28799	343.29523	4.616	[M+H]+1	Full match	No results			No results	0	No results	6.18E+07
658		C16 H24 N4 O9	416.15279	415.14572	13.169	[M-H]-1	Full match	No results			No results	0	No results	1.08E+05
659		C17 H37 N O3	303.27736	304.28463	7.484	[M+H]+1	Full match	No results			No results	0	No results	2.28E+05
660		C13 H22 N8 O2 S	354.15714	355.16442	11.689	[M+H]+1	Full match	No results			No match	2	No results	5.65E+05
661		C39 H55 N5 O3	641.42825	642.43553	3.703	[M+H]+1	Full match	No results			No results	0	No results	8.10E+05
662		C12 H25 N O3	231.18345	232.19073	4.755	[M+H]+1	Full match	No results			No results	0	No results	3.58E+06
663		C28 H50 N O5 P3	573.29328	574.30055	4.142	[M+H]+1	Invalid mass	No results			No results	0	No results	4.88E+05
664		C10 H11 N5 O3	249.08621	250.09349	8.607	[M+H]+1	Full match	No results			No match	2	No results	9.80E+07
665		C19 H31 N O4	337.22495	338.23233	3.602	[M+H]+1	Full match	No results			No results	0	No results	6.63E+06
666		C61 H53 Cl2 N O4 S2	997.27933	998.28661	3.663	[M+H]+1	Full match	No results			No results	0	No results	3.97E+05
667		C6 H15 N O6	197.09001	198.09733	12.223	[M+H]+1	Full match	No results			No results	0	No results	4.10E+05
668		C39 H55 N5 O3	641.428	642.43528	4.316	[M+H]+1	Full match	No results			No results	0	No results	3.67E+06
669		C16 H20 N10 O2	384.17863	429.17688	4.752	[M+FA-H]-1	Full match	No results			No match	2	No results	2.32E+07
670		C19 H34 N2 O3	338.25657	339.26379	4.198	[M+H]+1	Full match	No results			No results	0	No results	5.18E+07
671		C11 H17 N3 O2	223.13205	241.16586	7.919	[M+NH4]+1	Full match	No results			No results	0	No results	1.70E+06
672		C35 H71 N O3	553.5427	554.54997	4.431	[M+H]+1	Full match	No results			No results	0	No results	3.88E+06
673		C5 H2 N4	118.02799	136.06181	9.351	[M+NH4]+1	Full match	No results			No results	0	No results	4.55E+07
674		C35 H75 N7 O3	641.5948	642.60207	3.852	[M+H]+1	Full match	No results			No results	0	No results	2.30E+06
675		C20 H35 N O11	465.22098	448.21764	4.753	[M+H-H2O]+1	Full match	No results			No results	0	No results	2.22E+07
676		C12 H27 N2 O P S2	310.13104	311.13831	11.443	[M+H]+1	Full match	No results			No match	3	No results	1.33E+06
677		C21 H45 N O4	375.33466	376.34194	3.809	[M+H]+1	Full match	No results			No results	0	No results	6.69E+05
678		C17 H24 N10 O5	448.19472	447.18732	4.749	[M-H]-1	Full match	No results			No results	0	No results	4.05E+06
679		C17 H22 N10 O4	430.18405	429.17678	4.755	[M-H]-1	Full match	No results			No results	0	No results	2.32E+07
680		C16 H35 N O3	289.2617	290.26897	5.432	[M+H]+1	Full match	No results			No results	0	No results	2.88E+06
681		C9 H19 N O3	189.13651	190.14379	11.644	[M+H]+1	Full match	No results			No results	0	No results	6.34E+05
682		C37 H51 N5 O3	613.39679	614.40407	3.723	[M+H]+1	Full match	No results			No results	0	No results	7.86E+05
683		C17 H30 N2 O3	310.22558	309.21848	4.336	[M-H]-1	Full match	No results			No results	0	No results	7.06E+06
684		C5 H15 N5 O2 S2	241.06577	240.05849	3.68	[M-H]-1	Full match	No results			No results	0	No results	5.85E+05
685		C22 H36 N4 O	372.28727	390.32108	3.882	[M+NH4]+1	Full match	No results			No match	7	No results	9.17E+05
686		C15 H27 N8 O5 P	430.18386	429.17676	10.238	[M-H]-1	Full match	No results			No results	0	No results	2.15E+07
687		C28 H47 N O14 P2	683.2468	684.25408	14.011	[M+H]+1	Full match	No results			No results	0	No results	2.30E+05
688		C21 H45 N O4	375.3344	376.34167	5.19	[M+H]+1	Full match	No results			No results	0	No results	1.51E+06
689		C20 H37 N O6	387.26185	388.26913	4.76	[M+H]+1	Full match	No results			No results	0	No results	3.56E+05
690		C41 H71 O4 P	658.51228	659.51956	4.503	[M+H]+1	Full match	No results			No results	0	No results	2.53E+06
691		C19 H41 N O4	347.30321	348.31049	5.008	[M+H]+1	Full match	No results			No results	0	No results	3.98E+06
692		C35 H64 N O6 P3	687.39625	688.40352	4.137	[M+H]+1	Full match	No results			No results	0	No results	2.09E+06
693		C16 H18 N4	266.15193	267.15922	3.839	[M+H]+1	Full match	No results			No match	26	No results	1.22E+08
694		C18 H30 N2 O2	306.23013	339.26359	4.191	[M+H+MeOH]+1	Full match	No results			No results	0	No results	5.18E+07
695		C45 H33 Cl2 N7 O	757.2121	758.2194	3.692	[M+H]+1	Full match	No results			No results	0	No results	7.84E+05
696		C23 H47 O17 P3	688.20238	689.20966	14.007	[M+H]+1	Full match	No results			No results	1	No results	2.27E+05
697		C15 H33 N O	243.25629	244.26357	14.156	[M+H]+1	Full match	No results			No results	0	No results	1.92E+06
698		C30 H56 N5 O6 P	613.39659	614.40387	4.354	[M+H]+1	Full match	No results			No results	0	No results	4.04E+06
699		C40 H75 N5 O	641.59499	642.60227	4.465	[M+H]+1	Full match	No results			No results	0	No results	3.39E+06
700		C13 H24 N2 O3	256.17873	257.18601	11.359	[M+H]+1	Full match	No results			No results	0	No results	5.85E+05
701		C17 H24 N2 O S2	336.13222	335.12518	4.748	[M-H]-1	Full match	No results			No results	0	No results	8.51E+06
702		C33 H67 N O3	525.51214	526.51941	3.813	[M+H]+1	Full match	No results			No results	0	No results	1.69E+06
703		C6 H15 N8 P	230.11545	229.10822	4.747	[M-H]-1	Full match	No results			No match	1	No results	2.56E+07
704		C7 H12 N2 O2	156.08995	157.09722	21.434	[M+H]+1	Full match	No results			No results	0	No results	3.41E+06
705		C9 H9 N7	215.09206	429.17679	10.232	[2M-H]-1	Full match	No results			No results	0	No results	2.15E+07
706		C11 H20 O6	248.12595	247.11867	4.503	[M-H]-1	Full match	No results			No results	0	No results	3.59E+07
707		C29 H32 Cl N7 O2 S2	609.17553	610.1828	4.334	[M+H]+1	Full match	No results			No results	0	No results	3.56E+06
708		C25 H38 N4 O17	666.22302	665.2159	14.009	[M-H]-1	Full match	No results			No match	32	No results	9.67E+04
709		C15 H18 N4 O2	286.14169	285.13434	4.748	[M-H]-1	Full match	No results			No results	0	No results	1.64E+07
710		C9 H15 N O5	217.09514	218.10242	4.496	[M+H]+1	Full match	No results			No match	1	No results	2.10E+07
711		C6 H14 O5 S	198.05639	199.06367	10.901	[M+H]+1	Full match	No results			No match	1	No results	2.14E+07
712		C28 H43 O4 P	474.28989	473.28261	3.266	[M-H]-1	Full match	No results			No results	0	No results	6.04E+07
713		C11 H19 N O5	245.1265	246.13378	12.055	[M+H]+1	Full match	No results			No results	0	No results	2.10E+07
714		C41 H75 N S	613.56338	614.57065	4.414	[M+H]+1	Full match	No results			No match	1	No results	3.56E+06
715		C7 H20 N6 O2 S	252.13614	253.14341	3.633	[M+H]+1	Full match	No results			No match	3	No results	4.41E+07
716		C10 H21 N S2	219.11067	220.11794	11.14	[M+H]+1	Full match	No results			No match	2	No results	2.88E+07
717		C28 H64 N7 O2 P3 S	655.40757	656.41498	4.132	[M+H]+1	Full match	No results			No results	0	No results	1.12E+06
718		C20 H31 N5 O	357.25143	358.2587	4.772	[M+H]+1	Full match	No results			No match	1	No results	8.35E+06
719		C20 H17 N2 O3 P	364.09797	365.10525	13.002	[M+H]+1	Full match	No results			No results	0	No results	1.39E+07
720		C5 H13 O6 P	200.04519	199.03797	9.99	[M-H]-1	Full match	No results			No results	0	No results	2.85E+06
721		C22 H44 N6 O3 S	472.319	235.15223	3.337	[M-2H]-2	Full match	No results			No results	0	No results	1.98E+07
722		C37 H75 N O3	581.57426	582.58154	3.951	[M+H]+1	Full match	No results			No results	0	No results	3.51E+06
723		C7 H5 N O3 S2	214.97124	213.96396	4.405	[M-H]-1	Full match	No results			No results	0	No results	3.87E+06
724		C33 H67 N O3	525.51197	526.51925	4.438	[M+H]+1	Full match	No results			No results	0	No results	3.48E+06
725		C8 H7 N O6	213.02788	212.0206	13.602	[M-H]-1	Full match	No results			No results	0	No results	2.28E+07
726		C12 H27 N O4	249.19404	232.19078	7.466	[M+H-H2O]+1	Full match	No results			No results	0	No results	1.98E+06
727		C39 H72 N O3 P3	695.47426	696.48153	4.252	[M+H]+1	Full match	No results			No results	0	No results	2.59E+06
728		C55 H39 Cl2 N O3	831.23159	832.23887	3.733	[M+H]+1	Full match	No results			No results	0	No results	6.17E+05
729		C22 H45 N O3	371.33965	372.3469	3.895	[M+H]+1	Full match	No results			No results	0	No results	3.05E+06
730		C21 H43 Cl O4	394.28506	393.27778	4.451	[M-H]-1	Full match	No results			No results	0	No results	8.83E+05
731		C19 H33 N O3	323.2458	324.25309	4.016	[M+H]+1	Full match	No results			No results	0	No results	4.84E+07
732		C16 H37 N4 O7 P	428.24069	427.23382	4.05	[M-H]-1	Full match	No results			No match	1	No results	6.21E+06
733		C18 H36 N2 O3	328.27225	329.27954	3.964	[M+H]+1	Full match	No results			No results	0	No results	1.38E+06
734		C7 H12 O7	208.05866	207.05137	9.784	[M-H]-1	Full match	No results			No match	3	No results	3.33E+05
735		C26 H57 N9 O9 S	671.40225	672.4096	4.135	[M+H]+1	Full match	No results			No results	0	No results	8.78E+05
736		C13 H35 N6 O2 P	338.25645	339.26373	3.947	[M+H]+1	Full match	No results			No results	0	No results	1.36E+07
737		C9 H23 Cl N8 O3 P2	388.10421	389.11147	3.797	[M+H]+1	Full match	No results			No match	2	No results	1.05E+06
738		C16 H20 N2 O6	336.13234	335.12508	7.467	[M-H]-1	Full match	No results			No results	0	No results	1.90E+07
739		C5 H4 N2	92.03732	93.04474	7.479	[M+H]+1	Full match	No results			No results	0	No results	2.81E+06
740		C8 H6	102.04693	120.08075	9.988	[M+NH4]+1	Full match	No results			No results	0	No results	1.03E+07
741		C7 H12 O7	208.05863	207.05135	10.726	[M-H]-1	Full match	No results			No match	2	No results	4.13E+06
742		C39 H79 N O5	641.59509	642.60237	6.186	[M+H]+1	Full match	No results			No results	0	No results	9.17E+05
743		C10 H22 N2 O5	250.15277	251.16005	8.354	[M+H]+1	Full match	No results			No results	0	No results	9.74E+05
744		C13 H22 O5	258.1467	257.13941	3.856	[M-H]-1	Full match	No results			No results	0	No results	2.98E+07
745		C23 H38 N4 O2	402.29825	401.29098	3.897	[M-H]-1	Full match	No results			No match	2	No results	7.83E+05
746		C33 H71 N7 O3	613.56361	614.57088	5.315	[M+H]+1	Full match	No results			No match	1	No results	4.66E+06
747		C13 H29 N2 O2 P S2	340.14154	341.14882	12.639	[M+H]+1	Full match	No results			No match	2	No results	4.33E+05
748		C36 H64 N2 O3	572.49114	573.49841	3.809	[M+H]+1	Full match	No results			No results	0	No results	2.31E+07
749		C10 H14 N4 O	206.11572	205.10844	7.408	[M-H]-1	Invalid mass	No results			No results	0	No results	1.29E+07
750		C42 H65 N O10	743.45928	744.46656	4.2	[M+H]+1	Full match	No results			No results	0	No results	2.20E+06
751		C7 H13 N O5 S	223.0516	222.04432	4.744	[M-H]-1	Full match	No results			No match	2	No results	1.79E+05
752		C23 H51 N3 O P2 S	479.32489	480.33214	3.45	[M+H]+1	Full match	No results			No results	0	No results	1.57E+07
753		C23 H51 N6 P	442.39373	443.40101	7.523	[M+H]+1	Invalid mass	No results			No results	0	No results	1.78E+05
754		C11 H25 N O2	203.18852	204.19579	7.539	[M+H]+1	Full match	No results			No results	0	No results	2.17E+05
755		C8 H9 N3 O3	195.06469	196.07202	10.238	[M+H]+1	Full match	No results			No results	0	No results	2.79E+06
756		C30 H41 N O9	559.27743	560.28471	4.441	[M+H]+1	Full match	No results			No results	0	No results	7.17E+05
757		C9 H13 P	152.07624	363.16614	4.744	[2M-H+HAc]-1	Full match	No results			No results	0	No results	1.24E+06
758		C29 H47 N3 S	469.35126	470.35854	4.17	[M+H]+1	Full match	No results			No results	0	No results	1.22E+06
